Name,Twitter Ticker,Country,Industry,Google Ticker,Google Peers,Twitter Peers
NAVA BHARAT VENTURES,NABV.NS,India,Basic Materials,NSE:NBVENTURES,NYSE:NUE ASX:FMG BIT:TEN AMS:MT HKG:0656 ,$NUE FMG.AX TENR.MI ISPA.AS 0656.HK 
FERREXPO,FXPO.L,United Kingdom,Basic Materials,LON:FXPO,ASX:MGX ASX:BSL ASX:OST TSE:RUS ETR:SZG LON:EVR ,MGX.AX BSL.AX OST.AX RUS.TO SZGG.DE EVRE.L 
YAMATO KOGYO ,5444.T,Japan,Basic Materials,TYO:5444,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
HSIN KUANG STEEL,2031.TW,Taiwan,Basic Materials,TPE:2031,NYSE:X LON:EVR HKG:0581 NYSE:CLF TPE:2010 TPE:2030 ,$X EVRE.L 0581.HK $CLF 2010.TW 2030.TW 
YEUN CHYANG INDUSTRIAL,2034.TW,Taiwan,Basic Materials,TPE:2034,LON:EVR TPE:2031 HKG:0581 NYSE:CLF TPE:2010 ,EVRE.L 2031.TW 0581.HK $CLF 2010.TW 
YIEH PHUI ENTERPRISE ,2023.TW,Taiwan,Basic Materials,TPE:2023,TPE:2014 NYSE:NUE ASX:FMG BIT:TEN AMS:MT ,2014.TW $NUE FMG.AX TENR.MI ISPA.AS 
CHINA ORIENTAL ,0581.HK,Hong Kong,Basic Materials,HKG:0581,NYSE:X LON:EVR TPE:2031 NYSE:CLF TPE:2010 HKG:0656 ,$X EVRE.L 2031.TW $CLF 2010.TW 0656.HK 
TUNG HO STEEL ENTERPRISE,2006.TW,Taiwan,Basic Materials,TPE:2006,AMS:MT HKG:0656 NSE:JSWISPAT NSE:JINDALSAW NSE:BHUSANSTL ,ISPA.AS 0656.HK JSWI.NS JIND.NS BSSL.NS 
NETUREN,5976.T,Japan,Basic Materials,TYO:5976,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
KYOEI STEEL,5440.T,Japan,Basic Materials,TYO:5440,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
TA CHEN STAINLESS PIPE ,2027.TW,Taiwan,Basic Materials,TPE:2027,NYSE:CLF TPE:2010 NSE:USHAMART NSE:JAICORPLTD TPE:2014 ,$CLF 2010.TW USBL.NS JAIC.NS 2014.TW 
